"","assists","baronKills","bountyLevel","champExperience","champLevel","championId","championName","championTransform","consumablesPurchased","damageDealtToBuildings","damageDealtToObjectives","damageDealtToTurrets","damageSelfMitigated","deaths","detectorWardsPlaced","doubleKills","dragonKills","firstBloodAssist","firstBloodKill","firstTowerAssist","firstTowerKill","gameEndedInEarlySurrender","gameEndedInSurrender","goldEarned","goldSpent","individualPosition","inhibitorKills","inhibitorsLost","item0","item1","item2","item3","item4","item5","item6","itemsPurchased","killingSprees","kills","lane","largestCriticalStrike","largestKillingSpree","largestMultiKill","longestTimeSpentLiving","magicDamageDealt","magicDamageDealtToChampions","magicDamageTaken","neutralMinionsKilled","nexusKills","nexusLost","objectivesStolen","objectivesStolenAssists","participantId","pentaKills","physicalDamageDealt","physicalDamageDealtToChampions","physicalDamageTaken","profileIcon","puuid","quadraKills","riotIdName","riotIdTagline","role","sightWardsBoughtInGame","spell1Casts","spell2Casts","spell3Casts","spell4Casts","summoner1Casts","summoner1Id","summoner2Casts","summoner2Id","summonerId","summonerLevel","summonerName","teamEarlySurrendered","teamId","teamPosition","timeCCingOthers","timePlayed","totalDamageDealt","totalDamageDealtToChampions","totalDamageShieldedOnTeammates","totalDamageTaken","totalHeal","totalHealsOnTeammates","totalMinionsKilled","totalTimeCCDealt","totalTimeSpentDead","totalUnitsHealed","tripleKills","trueDamageDealt","trueDamageDealtToChampions","trueDamageTaken","turretKills","turretsLost","unrealKills","visionScore","visionWardsBoughtInGame","wardsKilled","wardsPlaced","win","raph_score"
"1",4,0,0,14213,15,1,"Annie",0,2,2660,2660,2660,9992,9,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10735,10150,"TOP",0,3,1026,3157,3020,6653,3916,1011,3340,17,0,4,"TOP",0,0,1,347,78550,11916,11777,0,0,1,0,0,1,0,17656,770,5992,4862,"xKzGh418x9pTaHvU1sSilkYgFSO6l6h65QvHQiI_--4QPlBgajKT9AsvwkVmb2wVYIQMKYfYKJqncg",0,NA,NA,"SOLO",0,186,45,55,13,4,14,5,4,"XbFHObt5CQ0vfvjIoy4F-4QW-BgWrAVCGKH_O5B7KkCRN8E",165,"Howeyourfelling",FALSE,100,"TOP",16,1809,99506,13266,342,19699,404,85,195,204,284,3,0,3300,580,1929,1,10,0,14,0,0,9,FALSE,2.28088247684348
"2",7,0,1,13816,15,163,"Taliyah",0,1,1161,1161,1161,8537,9,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12080,10575,"MIDDLE",0,3,6656,3040,2033,3020,1058,1058,3340,17,2,9,"MIDDLE",0,4,1,435,117697,20435,10862,17,0,1,0,0,2,0,10847,1145,11322,3150,"EXGr3l6oOYbvo1JEcr5gpmUCf-Kmn1ZNbDFHCCG3Q6EHl5m7KaSaOsZYCq8bHQq4jeSxmJoGTclNvg",0,NA,NA,"SOLO",0,153,47,85,6,6,14,5,4,"TbOrNZ-qd22vTTG0TwGl3Ov88dkE8eYiWI3pMHGKwJYnAnA",245,"Duckyyy",FALSE,100,"MIDDLE",26,1809,135009,23174,0,24115,2528,0,156,582,256,1,0,6463,1593,1930,0,10,0,22,1,2,8,FALSE,4.2771520371829
"3",4,0,0,11401,13,141,"Kayn",1,0,106,6297,106,19422,10,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7639,7275,"JUNGLE",0,3,6630,2031,3111,3044,1028,1037,3340,12,0,1,"JUNGLE",0,0,1,337,5311,0,17290,96,0,1,0,0,3,0,83262,4135,17280,746,"s4zejUp0TMLJflwnXqbMMzkYDg38PZx5QGyCwlS1DUpqnuYN1-eD5p6Pxu_xvW4t6fzEUddHoC8DkA",0,NA,NA,"NONE",0,96,52,31,6,4,4,10,11,"LlmSuOLD2GwLyA8di9p_EfTAOzLNjEheIaOoW6jwf0mCpmZA",45,"notKido",FALSE,100,"JUNGLE",6,1809,97192,4135,0,37634,10931,0,29,226,273,1,0,8618,0,3064,0,10,0,11,0,1,5,FALSE,2.46486241165851
"4",5,0,0,11943,14,29,"Twitch",0,6,1689,3398,1689,8625,8,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11983,11650,"BOTTOM",0,3,3085,3031,6671,3006,1036,1056,3363,26,1,7,"BOTTOM",397,2,1,602,2330,1092,6916,16,0,1,0,0,4,0,111490,12033,12274,4737,"NDBoOcKptL4O4alDPCl06BW6lXyL1r4jFCbTMZWcPrVLrqeAIeXvUyYHA7d4XGSJlmZq_QEdZHeYqQ",0,NA,NA,"CARRY",0,30,46,35,12,4,4,5,7,"hXDxE15WPxwdamfi6hEpiLiXlJm_YSPim4yUxAMutWNDE8w",278,"onion head",FALSE,100,"BOTTOM",8,1809,132191,15320,0,21010,1909,495,175,417,243,3,0,18369,2195,1819,1,10,0,26,3,6,11,FALSE,4.06188132912985
"5",7,0,0,10437,13,18,"Tristana",0,14,1803,1875,1803,7155,7,5,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7531,6985,"UTILITY",0,3,3864,4633,2055,3006,1043,1052,3364,29,0,1,"BOTTOM",0,0,1,407,12114,1196,8935,2,0,1,0,0,5,0,38885,3826,9805,4918,"GG_f8JuG5XuykXchchEy9gOi8FqgCK2oLx5INAhLlf11XWOa5TOdWcBJsw-tuNuJwUioGrv_yoifZw",0,NA,NA,"SUPPORT",0,22,25,39,5,5,14,3,4,"M-Sr8O_BGkOzJ8F5KCJfF5sv8LV2u-BlfCC9AA9R5uVk-7w",293,"jam cham",FALSE,100,"UTILITY",7,1809,51436,5460,0,19931,2655,0,41,65,150,1,0,437,437,1190,0,10,0,59,6,7,26,FALSE,2.9838458354887
"6",16,1,0,17103,17,887,"Gwen",0,3,14290,28170,14290,29740,6,1,0,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,16052,13325,"MIDDLE",1,0,1056,3135,3157,3111,3115,4633,3340,20,4,12,"MIDDLE",0,4,1,445,102577,20933,13487,26,1,0,0,0,6,0,39206,6517,21223,1387,"72UOWSd_rNXWBqGL9dMGCB7zWXyANkBOlm2fQZOqXJrVh7r8Zll9JlrQQn4rMEqF_Yz9a4rp2cI05Q",0,NA,NA,"SOLO",0,121,24,105,31,4,4,4,12,"vnZrrMtFauS2qXVWTFVQEqW_1xXhqq3NeEctooAsHBjOk9U",196,"teekayy",FALSE,200,"MIDDLE",7,1809,178822,34446,0,38951,15729,0,180,165,203,1,0,37039,6995,4241,5,2,0,18,1,0,10,TRUE,9.69771858566563
"7",13,0,0,13387,15,876,"Lillia",0,6,0,28142,0,11792,5,6,1,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9781,8335,"JUNGLE",0,0,3158,6653,3157,1052,0,0,3364,21,1,3,"JUNGLE",0,2,2,1140,83617,7558,10590,120,0,0,0,0,7,0,16711,355,13237,4904,"LEbGgdjQGSE4qdg2y-BF907gpIL_j2T6gvstwfUBFAlL-QZQlJCCzWlsRQ-k63x4eERQyzJbFHzFSg",0,NA,NA,"NONE",0,149,60,85,7,3,4,14,11,"rbIApqpWfTU70n83PYW25EextXZNuGU9M3rx4gsw42YfQZk",318,"pinkiozou",FALSE,200,"JUNGLE",17,1809,138142,9911,0,25989,9489,0,29,267,155,1,0,37812,1997,2162,1,2,0,25,6,5,7,TRUE,7.76666849727692
"8",10,0,0,14943,16,115,"Ziggs",0,3,13298,18124,13298,6181,2,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11784,10675,"TOP",0,0,1056,3157,3020,4637,6653,0,3340,16,1,6,"TOP",0,5,1,1582,95494,16329,6731,12,0,0,0,0,8,0,15839,350,5869,4911,"f7dCQTT5LxuPNzZq-pGQSaeKDqGwjWlBN0c5nMI4rcfHKxnEgYpcMIlZjdMRDaO4L9tYsPhmWxkSFA",0,NA,NA,"SOLO",0,91,74,35,9,3,4,3,12,"HKccTatcL3Sh1LVAblgjKZ58OArCzimgvRzhzmGMMYHT2Jzg",72,"MogiBeef",FALSE,200,"TOP",10,1809,124683,16679,0,15330,2703,0,150,155,96,1,0,13350,0,2729,2,2,0,30,1,2,10,TRUE,7.44441575727974
"9",5,0,7,13512,15,202,"Jhin",0,3,2643,7547,2643,5588,5,2,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14905,12850,"BOTTOM",2,0,3009,3031,6671,6676,3086,1042,3364,28,3,17,"BOTTOM",1108,7,4,481,9581,1074,4487,12,0,0,0,0,9,0,127958,19423,7940,4745,"1VELwk03Cw27Byh_HVSZbOe-zK1dfB8cQIDA6UAZ0kBh7BmDqsbv4jXGuhKRJ9OkoUig4xWFwPvNJQ",1,NA,NA,"CARRY",0,69,32,39,22,5,4,5,7,"JFYb5Hgc8Hj_avcl2bMf15gvTrhlNjdpafonITQKM2VksZN_",96,"Snorflex711",FALSE,200,"BOTTOM",22,1809,138317,20804,0,13279,4176,825,168,151,156,2,1,776,306,852,1,2,0,22,2,4,8,TRUE,8.36136291136543
"10",10,0,3,11623,14,143,"Zyra",0,10,957,3062,957,4234,4,6,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8690,5835,"UTILITY",0,0,3853,2065,1011,1052,3158,0,3364,22,1,5,"BOTTOM",0,3,1,335,17712,6815,2839,0,0,0,0,0,10,0,2908,278,5339,4404,"oD1YKN4FJJtvT8BEEAXtEsIk0nwBA2CWiq2kGGsANoUnRa7tMhtkSNciNkVOoUrioNOw7e0x5U4TYQ",0,NA,NA,"SUPPORT",0,42,48,24,4,4,14,3,4,"m2r98_YEPZttS-CYOtemzthoCHUZM3TENgxA7qqwZPNmryQ",95,"Brialdur II",FALSE,200,"UTILITY",20,1809,21255,7727,0,8999,600,0,17,75,63,1,0,634,634,821,1,2,0,57,6,6,25,TRUE,4.91472777006252
